cited_paper,citing_title,year,venue,doi,citing_paper_citations,self_citation,citing_authors,institutions,countries,source
Improved physical downlink control (COMSNETS 2018),Repetition with Learning Approaches in Massive Machine Type Communications,2022,Electronics,10.3390/electronics11223649,2,no,Li-Sheng Chen; Chih-Hsiang Ho; Cheng-Chang Chen; Yu-Shan Liang; Sy-Yen Kuo,Bureau of Standards; Feng Chia University; Institute for Information Industry; National Kaohsiung University of Science and Technology; National Taiwan University,,Crossref
Improved physical downlink control (COMSNETS 2018),Joint Control and Shared Channel Scheduling for Downlink in 3GPP Narrowband-IoT,2020,International Conference on Communication Systems and Networks,10.1109/COMSNETS48256.2020.9027476,1,yes,Pavan Reddy Manne; Abhinav Kumar; K. Kuchi,,,SemanticScholar
Iris (COMSNETS 2019),UNBLOCK: Low Complexity Transient Blockage Recovery for Mobile mm-Wave Devices,2021,International Conference on Communication Systems and Networks,10.1109/COMSNETS51098.2021.9352816,6,yes,Venkata Siva Santosh Ganji; Tzu-Hsiang Lin; Francisco A. Espinal; P. Kumar,,,SemanticScholar
Scheduling and Decoding of Downlin (IEEE Access 2020),Offset-Aware Resource Allocation in NB-IoT Networks,2022,IEEE Internet of Things Journal,10.1109/jiot.2022.3189004,11,no,Ya-Ju Yu; Liang-Xian Li,National University of Kaohsiung,TW,OpenAlex+SemanticScholar
Scheduling and Decoding of Downlin (IEEE Access 2020),Control Period Adaptation and Resource Allocation for Joint Uplink and Downlink in NB-IoT Networks,2024,IEEE Internet of Things Journal,10.1109/jiot.2024.3355404,10,no,Ya-Ju Yu; You‐Chiun Wang; Chia-Hsin Fan,National Sun Yat-sen University; National University of Kaohsiung,TW,OpenAlex+SemanticScholar
Scheduling and Decoding of Downlin (IEEE Access 2020),SmartCon: Deep Probabilistic Learning-Based Intelligent Link-Configuration in Narrowband-IoT Toward 5G and B5G,2021,IEEE Transactions on Cognitive Communications and Networking,10.1109/tccn.2021.3130985,7,no,Raja Karmakar; Georges Kaddoum; Samiran Chattopadhyay,Jadavpur University; TCG Crest; Université du Québec à Montréal; École de Technologie Supérieure,CA; IN,OpenAlex+SemanticScholar
Scheduling and Decoding of Downlin (IEEE Access 2020),Energy-Efficient Scheduling for Search-Space Periods in NB-IoT Networks,2023,IEEE Systems Journal,10.1109/jsyst.2023.3264261,7,no,Ya-Ju Yu; Chua-Ling Wu,National University of Kaohsiung,TW,OpenAlex+SemanticScholar
Scheduling and Decoding of Downlin (IEEE Access 2020),Optimal Design of a Hybrid Solar PV/BG-Powered Heterogeneous Network,2022,Sustainability,10.3390/su14042201,6,no,Md. Sanwar Hossain; Khondoker Ziaul Islam; Abdullah G. Alharbi; Md Shafiullah; Md. Rabiul Islam; Afef Fekih,Bangladesh University of Business and Technology; Jouf University; King Fahd University of Petroleum & Minerals; Murdoch University; University of Louisiana at Lafayette; University of Wollongong,,Crossref
Scheduling and Decoding of Downlin (IEEE Access 2020),An ICI-Aware Scheduler for NB-IoT Devices in Co-existence with 5G NR,2021,2021 IEEE 4th 5G World Forum (5GWF),10.1109/5gwf52925.2021.00048,4,no,Shahida Jabeen; Anwar Haque,,,Crossref
Scheduling and Decoding of Downlin (IEEE Access 2020),Joint Link Adaptation and Resource Allocation for Uplink in 3GPP Machine-Type Communications,2022,2022 14th International Conference on COMmunication Systems &amp; NETworkS (COMSNETS),10.1109/comsnets53615.2022.9668335,1,yes,Pavan Reddy M.; Abhinav Kumar; Kiran Kuchi,Indian Institute of Technology,,Crossref
Scheduling and Decoding of Downlin (IEEE Access 2020),PDCCH Scheduling via Maximum Independent Set,2024,arXiv.org,10.48550/arXiv.2405.04283,1,no,Lorenzo Maggi; Alvaro Valcarce Rial; Alois Herzog; S. Kalyanasundaram; R. Agrawal,,,SemanticScholar
Scheduling and Decoding of Downlin (IEEE Access 2020),Development of a novel OMNET++ framework for analysis of an NB-IoT uplink network,2024,2024 International Conference on Emerging Trends in Smart Technologies (ICETST),10.1109/icetst62952.2024.10737960,0,no,Sundus Ali; Muhammad Imran Aslam; Irfan Ahmed; Syed Talib Abbas Jafri; Tahniyat Aslam,NED University of Engineering and Technology,PK,OpenAlex+SemanticScholar
Downlink control channel schedulin (IEEE PIMRC 2018),NPDCCH Period Adaptation and Downlink Scheduling for NB-IoT Networks,2020,IEEE Internet of Things Journal,10.1109/jiot.2020.3010532,19,no,Ya-Ju Yu,National University of Kaohsiung,TW,OpenAlex+SemanticScholar
Downlink control channel schedulin (IEEE PIMRC 2018),Control Period Adaptation and Resource Allocation for Joint Uplink and Downlink in NB-IoT Networks,2024,IEEE Internet of Things Journal,10.1109/jiot.2024.3355404,10,no,Ya-Ju Yu; You‐Chiun Wang; Chia-Hsin Fan,National Sun Yat-sen University; National University of Kaohsiung,TW,OpenAlex+SemanticScholar
Downlink control channel schedulin (IEEE PIMRC 2018),Scheduling and Decoding of Downlink Control Channel in 3GPP Narrowband-IoT,2020,IEEE Access,10.1109/access.2020.3026077,8,yes,M. Pavan Reddy; Santosh Ganji; Abhinav Kumar; Kiran Kuchi,Indian Institute of Technology Hyderabad; Texas A&M University,IN; US,OpenAlex+SemanticScholar
Downlink control channel schedulin (IEEE PIMRC 2018),Energy-Efficient Scheduling for Search-Space Periods in NB-IoT Networks,2023,IEEE Systems Journal,10.1109/jsyst.2023.3264261,7,no,Ya-Ju Yu; Chua-Ling Wu,National University of Kaohsiung,TW,OpenAlex+SemanticScholar
Downlink control channel schedulin (IEEE PIMRC 2018),Joint Control and Shared Channel Scheduling for Downlink in 3GPP Narrowband-IoT,2020,International Conference on Communication Systems and Networks,10.1109/comsnets48256.2020.9027476,6,yes,M. Pavan Reddy; Abhinav Kumar; Kiran Kuchi,Indian Institute of Technology Hyderabad,IN,OpenAlex+SemanticScholar
Downlink control channel schedulin (IEEE PIMRC 2018),Design and performance analysis of joint control and shared channel scheduler for downlink in 3GPP narrowband-IoT,2021,Ad Hoc Networks,10.1016/j.adhoc.2021.102440,3,yes,Pavan Reddy M.; Abhinav Kumar; Kiran Kuchi,,,Crossref
Downlink control channel schedulin (IEEE PIMRC 2018),Improved Physical Downlink Control Channel for 3GPP Massive Machine Type Communications,2018,Lecture notes in computer science,10.1007/978-3-030-10659-1_1,3,yes,M. Pavan Reddy; G. Santosh; Abhinav Kumar; Kiran Kuchi,Indian Institute of Technology Hyderabad,IN,OpenAlex+SemanticScholar
Downlink control channel schedulin (IEEE PIMRC 2018),Joint Link Adaptation and Resource Allocation for Uplink in 3GPP Machine-Type Communications,2022,,10.1109/comsnets53615.2022.9668335,1,yes,M. Pavan Reddy; Abhinav Kumar; Kiran Kuchi,Indian Institute of Technology Hyderabad,IN,OpenAlex
NeurWIN (NeurIPS 2021),Markovian Restless Bandits and Index Policies: A Review,2023,Mathematics,10.3390/math11071639,40,no,José Niño‐Mora,Universidad Carlos III de Madrid,ES,OpenAlex+SemanticScholar
NeurWIN (NeurIPS 2021),Optimistic Whittle Index Policy: Online Learning for Restless Bandits,2022,AAAI Conference on Artificial Intelligence,10.48550/arXiv.2205.15372,39,no,Kai Wang; Lily Xu; Aparna Taneja; M. Tambe,Harvard University,US,SemanticScholar
NeurWIN (NeurIPS 2021),A Decision-Language Model (DLM) for Dynamic Restless Multi-Armed Bandit Tasks in Public Health,2024,Neural Information Processing Systems,10.48550/arXiv.2402.14807,37,no,Nikhil Behari; Edwin Zhang; Yunfan Zhao; A. Taneja; Dheeraj M. Nagaraj; Milind Tambe,,,SemanticScholar
NeurWIN (NeurIPS 2021),Testing indexability and computing Whittle and Gittins index in subcubic time,2022,Mathematical Methods of Operations Research,10.1007/s00186-023-00821-4,25,no,Nicolas Gast; B. Gaujal; K. Khun,Centre Inria de l'Université Grenoble Alpes; Centre National de la Recherche Scientifique; Institut polytechnique de Grenoble; Laboratoire d'Informatique de Grenoble; Université Grenoble Alpes,FR,SemanticScholar
NeurWIN (NeurIPS 2021),Finite-Time Analysis of Whittle Index based Q-Learning for Restless Multi-Armed Bandits with Neural Network Function Approximation,2023,Neural Information Processing Systems,10.48550/arXiv.2310.02147,22,no,Guojun Xiong; Jian Li,,,SemanticScholar
NeurWIN (NeurIPS 2021),Learning Infinite-Horizon Average-Reward Restless Multi-Action Bandits via Index Awareness,2022,Neural Information Processing Systems,10.52202/068431-1302,20,no,Guojun Xiong; Shu-Fan Wang; J. Li,Binghamton University,US,SemanticScholar
NeurWIN (NeurIPS 2021),Online Restless Multi-Armed Bandits with Long-Term Fairness Constraints,2023,AAAI Conference on Artificial Intelligence,10.48550/arXiv.2312.10303,19,no,Shu-Fan Wang; Guojun Xiong; Jian Li,Stony Brook University,US,SemanticScholar
NeurWIN (NeurIPS 2021),EdgeRIC: Empowering Realtime Intelligent Optimization and Control in NextG Networks,2023,arXiv.org,10.48550/arXiv.2304.11199,19,yes,Woo-Hyun Ko; Ujwal Dinesha; Ushasi Ghosh; S. Shakkottai; Dinesh Bharadia; Raini Wu,,,SemanticScholar
NeurWIN (NeurIPS 2021),Near-optimality for infinite-horizon restless bandits with many arms,2022,arXiv.org,10.48550/arXiv.2203.15853,16,no,X. Zhang; P. Frazier,,,SemanticScholar
NeurWIN (NeurIPS 2021),Towards a Pretrained Model for Restless Bandits via Multi-arm Generalization,2023,International Joint Conference on Artificial Intelligence,10.24963/ijcai.2024/36,12,no,Yunfan Zhao; Nikhil Behari; Edward Hughes; Edwin Zhang; Dheeraj M. Nagaraj; K. Tuyls; A. Taneja; M. Tambe,Beijing Academy of Artificial Intelligence; China National Chemical Engineering (China); China Telecom (China); Google (United States); Harvard University; Northwestern Polytechnical University; Shanghai Artificial Intelligence Laboratory,CN; US,SemanticScholar
NeurWIN (NeurIPS 2021),Tabular and Deep Learning of Whittle Index,2022,,,12,no,Francisco Robledo; V. Borkar; U. Ayesta; K. Avrachenkov,Centre National de la Recherche Scientifique; Ikerbasque; Indian Institute of Technology Bombay; Institut Polytechnique de Bordeaux; Institut de Recherche en Informatique de Toulouse; Institut national de recherche en sciences et technologies du numérique; Laboratoire de Mathématiques et de leurs Applications; University of the Basque Country; Université Toulouse - Jean Jaurès; Université Toulouse III - Paul Sabatier; Université Toulouse-I-Capitole; Université de Pau et des Pays de l'Adour,ES; FR; IN,SemanticScholar
NeurWIN (NeurIPS 2021),Weakly Coupled Deep Q-Networks,2023,Neural Information Processing Systems,10.48550/arXiv.2310.18803,10,no,Ibrahim El Shar; Daniel R. Jiang,,,SemanticScholar
NeurWIN (NeurIPS 2021),Robust Planning over Restless Groups: Engagement Interventions for a Large-Scale Maternal Telehealth Program,2023,AAAI Conference on Artificial Intelligence,10.1609/aaai.v37i12.26672,10,no,J. Killian; Lily Xu; Arpita Biswas; Shresth Verma; V. Nair; A. Taneja; A. Hegde; N. Madhiwalla; Paula Rodríguez Díaz; Sonja Johnson-Yu; M. Tambe,ARMMAN; Google (United States); Harvard University,US,SemanticScholar
NeurWIN (NeurIPS 2021),DeepTOP: Deep Threshold-Optimal Policy for MDPs and RMABs,2022,Neural Information Processing Systems,10.48550/arXiv.2209.08646,10,yes,Khaled Nakhleh; I.-Hong Hou,,,SemanticScholar
NeurWIN (NeurIPS 2021),Reinforcement learning with combinatorial actions for coupled restless bandits,2025,International Conference on Learning Representations,10.48550/arXiv.2503.01919,9,no,Lily Xu; Bryan Wilder; Elias B. Khalil; M. Tambe,,,SemanticScholar
NeurWIN (NeurIPS 2021),Channel-Aware Joint AoI and Diversity Optimization for Client Scheduling in Federated Learning With Non-IID Datasets,2024,IEEE Transactions on Wireless Communications,10.1109/TWC.2023.3330967,8,no,Manyou Ma; Vincent W. S. Wong; Robert Schober,Friedrich-Alexander-Universität Erlangen-Nürnberg; University of British Columbia,CA; DE,SemanticScholar
NeurWIN (NeurIPS 2021),Restless and uncertain: Robust policies for restless bandits via deep multi-agent reinforcement learning,2021,Conference on Uncertainty in Artificial Intelligence,,7,no,J. Killian; Lily Xu; Arpita Biswas; M. Tambe,,,SemanticScholar
NeurWIN (NeurIPS 2021),Faster Q-Learning Algorithms for Restless Bandits,2024,Conference Information and Communication Technology,10.1109/CICT64037.2024.10899579,6,no,Parvish Kakarapalli; D. Kayande; Rahul Meshram,Indian Institute of Information Technology Allahabad; Indian Institute of Technology Madras,IN,SemanticScholar
NeurWIN (NeurIPS 2021),The Bandit Whisperer: Communication Learning for Restless Bandits,2024,AAAI Conference on Artificial Intelligence,10.48550/arXiv.2408.05686,6,no,Yunfan Zhao; Tonghan Wang; Dheeraj M. Nagaraj; A. Taneja; Milind Tambe,,,SemanticScholar
NeurWIN (NeurIPS 2021),Tabular and Deep Learning for the Whittle Index,2024,ACM Transactions on Modeling and Performance Evaluation of Computing Systems,10.1145/3670686,6,no,Francisco Robledo Relaño; Vivek S. Borkar; U. Ayesta; Konstantin Avrachenkov,Centre National de la Recherche Scientifique; Ikerbasque; Indian Institute of Technology Bombay; Institut Polytechnique de Bordeaux; Institut de Recherche en Informatique de Toulouse; Institut national de recherche en sciences et technologies du numérique; Laboratoire de Mathématiques et de leurs Applications; University of the Basque Country; Université Toulouse - Jean Jaurès; Université Toulouse III - Paul Sabatier; Université Toulouse-I-Capitole; Université de Pau et des Pays de l'Adour,ES; FR; IN,SemanticScholar
NeurWIN (NeurIPS 2021),Reinforcement Learning for Dynamic Dimensioning of Cloud Caches: A Restless Bandit Approach,2023,IEEE/ACM Transactions on Networking,10.1109/TNET.2023.3235480,6,no,Guojun Xiong; Shu-Fan Wang; Gang Yan; Jian Li,Binghamton University,US,SemanticScholar
NeurWIN (NeurIPS 2021),Full Gradient Deep Reinforcement Learning for Average-Reward Criterion,2023,Conference on Learning for Dynamics & Control,10.48550/arXiv.2304.03729,6,no,Tejas Pagare; V. Borkar; Konstantin Avrachenkov,,,SemanticScholar
NeurWIN (NeurIPS 2021),Robust Restless Bandits: Tackling Interval Uncertainty with Deep Reinforcement Learning.,2021,arXiv.org,,4,no,Jackson A. Killian; Lily Xu; Arpita Biswas; Milind Tambe,Harvard University,US,OpenAlex+SemanticScholar
NeurWIN (NeurIPS 2021),Lagrangian Index Policy for Restless Bandits with Average Reward,2024,Queueing Syst. Theory Appl.,10.1007/s11134-026-09976-3,4,no,Konstantin Avrachenkov; Vivek S. Borkar; Pratik Shah,Indian Institute of Technology Bombay; Institut national de recherche en sciences et technologies du numérique,FR; IN,SemanticScholar
NeurWIN (NeurIPS 2021),A Neural Network-Based Whittle Index Policy for Beam Resource Allocation in Multitarget Tracking,2024,IEEE Sensors Journal,10.1109/JSEN.2024.3435020,4,no,Yuhang Hao; Zengfu Wang; Jing Fu; Quan Pan,Northwestern Polytechnical University; RMIT University,AU; CN,SemanticScholar
NeurWIN (NeurIPS 2021),Windex: Realtime Neural Whittle Indexing for Scalable Service Guarantees in NextG Cellular Networks,2024,arXiv.org,10.48550/arXiv.2406.01888,4,yes,Archana Bura; Ushasi Ghosh; Dinesh Bharadia; Srinivas Shakkottai,,,SemanticScholar
NeurWIN (NeurIPS 2021),Towards Efficient Dynamic Uplink Scheduling over Multiple Unknown Channels,2022,arXiv.org,10.48550/arXiv.2212.06633,4,no,Shuang Wu; Xiaoqiang Ren; Qing-Shan Jia; K. Johansson; Ling Shi,,,SemanticScholar
NeurWIN (NeurIPS 2021),Online Learning of Whittle Indices for Restless Bandits with Non-Stationary Transition Kernels,2025,arXiv.org,10.48550/arXiv.2506.18186,3,no,Md Kamran Chowdhury Shisher; Vishrant Tripathi; Mung Chiang; Christopher G. Brinton,,,SemanticScholar
NeurWIN (NeurIPS 2021),Finite-Horizon Single-Pull Restless Bandits: An Efficient Index Policy For Scarce Resource Allocation,2025,Adaptive Agents and Multi-Agent Systems,10.48550/arXiv.2501.06103,3,no,Guojun Xiong; Haichuan Wang; Yuqi Pan; Saptarshi Mandal; Sanket Shah; N. Boehmer; Milind Tambe,,,SemanticScholar
NeurWIN (NeurIPS 2021),DOPL: Direct Online Preference Learning for Restless Bandits with Preference Feedback,2024,International Conference on Learning Representations,10.48550/arXiv.2410.05527,3,yes,Guojun Xiong; Ujwal Dinesha; Debajoy Mukherjee; Jian Li; Srinivas Shakkottai,,,SemanticScholar
NeurWIN (NeurIPS 2021),Towards Zero Shot Learning in Restless Multi-armed Bandits,2024,Adaptive Agents and Multi-Agent Systems,10.48550/arXiv.2310.14526,3,no,Yunfan Zhao; Nikhil Behari; Edward Hughes; Edwin Zhang; Dheeraj M. Nagaraj; Karl Tuyls; A. Taneja; Milind Tambe,Google (United Kingdom); Google (United States); Harvard University,GB; US,SemanticScholar
NeurWIN (NeurIPS 2021),A Multi-Armed Bandit-based Approach to Mobile Network Provider Selection,2020,arXiv.org,,3,no,Thomas Sandholm; S. Mukherjee,,,SemanticScholar
NeurWIN (NeurIPS 2021),Energy efficient training of private recommendation systems using multi-armed bandit models and analog in-memory computing,2025,npj Unconventional Computing,10.1038/s44335-025-00035-3,2,no,Minseong Park; Hung-Ta Chien; Wei-Chen Chen; Arjuman Ara Mimi; W. Wan; Kyung Seok Woo; Su-in Yi; Suhas Kumar,Sandia National Laboratories California; Stanford University; Texas A&M University,US,SemanticScholar
NeurWIN (NeurIPS 2021),Addressing Coupling in Restless Multi-Armed Bandits by Finetuning Whittle Index,2025,2025 IEEE 21st International Conference on Automation Science and Engineering (CASE),10.1109/CASE58245.2025.11164041,2,no,Yao Luan; Ni Mu; Qing-Shan Jia,Shandong Institute of Automation,CN,SemanticScholar
NeurWIN (NeurIPS 2021),Deep Q-Learning with Whittle Index for Contextual Restless Bandits: Application to Email Recommender Systems,2025,NLDL,,2,no,I. Mimouni; Konstantin Avrachenkov,,,SemanticScholar
NeurWIN (NeurIPS 2021),Achieving ˜ O (1 /N ) Optimality Gap in Restless Bandits through Gaussian Approximation,,,,2,no,Chen Yan; Weina Wang; Lei Ying,Carnegie Mellon University; University of Michigan,US,SemanticScholar
NeurWIN (NeurIPS 2021),Model-Based Learning of Whittle indices,2025,arXiv.org,10.48550/arXiv.2511.20397,1,no,Joel Charles-Rebuff'e; Nicolas Gast; Bruno Gaujal,,,SemanticScholar
NeurWIN (NeurIPS 2021),Projection-based Lyapunov method for fully heterogeneous weakly-coupled MDPs,2025,Neural Information Processing Systems,10.52202/085713-3045,1,no,Xiangcheng Zhang; Yige Hong; Weina Wang,Carnegie Mellon University,US,SemanticScholar
NeurWIN (NeurIPS 2021),ContextWIN: Whittle Index Based Mixture-of-Experts Neural Model For Restless Bandits Via Deep RL,2024,arXiv.org,10.48550/arXiv.2410.09781,1,no,Zhanqiu Guo; Wayne Wang,,,SemanticScholar
NeurWIN (NeurIPS 2021),Whittle Index Learning Algorithms for Restless Bandits with Constant Stepsizes,2024,Conference Information and Communication Technology,10.1109/CICT64037.2024.10899590,1,no,Vishesh Mittal; Rahul Meshram; Surya Prakash,Indian Institute of Information Technology Allahabad; Indian Institute of Technology Madras,IN,SemanticScholar
NeurWIN (NeurIPS 2021),GINO-Q: Learning an Asymptotically Optimal Index Policy for Restless Multi-armed Bandits,2024,AAAI Conference on Artificial Intelligence,10.48550/arXiv.2408.09882,1,no,Gongpu Chen; S. Liew; Deniz Gündüz,Imperial College London,GB,SemanticScholar
NeurWIN (NeurIPS 2021),Deep reinforcement learning for weakly coupled MDP's with continuous actions,2024,Analytical and Stochastic Modeling Techniques and Applications,10.48550/arXiv.2406.01099,1,no,Francisco Robledo; U. Ayesta; Konstantin Avrachenkov,,,SemanticScholar
NeurWIN (NeurIPS 2021),An Index Policy Based on Sarsa and Q -Learning for Heterogeneous Smart Target Tracking,2024,IEEE Sensors Journal,10.1109/JSEN.2024.3461722,1,no,Yuhang Hao; Zengfu Wang; Jing Fu; Quan Pan; Tao Yun,Northwestern Polytechnical University; RMIT University,AU; CN,SemanticScholar
NeurWIN (NeurIPS 2021),An Empirical Study on the Correlation Between New Network Index Tools and Stock Returns in the Pharmaceutical Sector,2023,Lecture notes in electrical engineering,10.1007/978-981-99-1428-9_225,0,no,Chengwei Liu,,,OpenAlex
NeurWIN (NeurIPS 2021),Age-Optimal Best Arm Identification,2026,"International Symposium on Modeling and Optimization in Mobile, Ad-Hoc and Wireless Networks",10.23919/WiOpt71098.2026.11568246,0,no,Mengqiu Zhou; Le Yang; Vincent Y. F. Tan; Meng Zhang,National University of Singapore; Zhejiang University,CN; SG,SemanticScholar
NeurWIN (NeurIPS 2021),Optimizing Resource-Constrained Non-Pharmaceutical Interventions for Multi-Cluster Outbreak Control Using Hierarchical Reinforcement Learning,2026,arXiv.org,10.48550/arXiv.2603.19397,0,no,Xueqiao Peng; Andrew Perrault,,,SemanticScholar
NeurWIN (NeurIPS 2021),Timely Best Arm Identification in Restless Shared Networks,2026,arXiv.org,10.48550/arXiv.2603.15078,0,no,Mengqiu Zhou; Vincent Y. F. Tan; Meng Zhang,,,SemanticScholar
NeurWIN (NeurIPS 2021),MARBLE: Multi-Armed Restless Bandits in Latent Markovian Environment,2025,European Control Conference,10.48550/arXiv.2511.09324,0,no,Mohsen Amiri; Konstantin Avrachenkov; I. Mimouni; Sindri Magn'usson,,,SemanticScholar
NeurWIN (NeurIPS 2021),Multi-agent Markov Entanglement,2025,Advances in Neural Information Processing Systems 38,10.48550/arXiv.2506.02385,0,no,Shuze Chen; Tianyi Peng,Columbia University,US,SemanticScholar
NeurWIN (NeurIPS 2021),Minimizing Cost Rather Than Maximizing Reward in Restless Multi-Armed Bandits,2024,arXiv.org,10.48550/arXiv.2409.03071,0,no,R. Witter; Lisa Hellerstein,,,SemanticScholar
NeurWIN (NeurIPS 2021),A Deep Reinforcement Learning-Based Whittle Index Policy for Multibeam Allocation,2024,Fusion,10.23919/FUSION59988.2024.10706358,0,no,Yuhang Hao; Zengfu Wang; Jing Fu; Quan Pan,Northwestern Polytechnical University; RMIT University,AU; CN,SemanticScholar
